,date,counts,Ranks
370,1098,9,1175.0
369,1097,9,1175.0
962,526,9,1175.0
923,490,9,1175.0
1460,983,9,1175.0
1306,842,9,1175.0
258,-66,9,1175.0
790,370,9,1175.0
1418,944,9,1175.0
819,397,9,1175.0
956,520,9,1175.0
898,468,9,1175.0
1008,57,9,1175.0
878,45,9,1175.0
891,461,9,1175.0
880,451,9,1175.0
1465,988,9,1175.0
955,52,9,1175.0
885,456,9,1175.0
1473,996,9,1175.0
311,1012,9,1175.0
246,-55,9,1175.0
174,-26,9,1175.0
1073,629,9,1175.0
98,-190,9,1175.0
858,431,9,1175.0
103,-195,9,1175.0
965,529,9,1175.0
363,1087,9,1175.0
1457,980,9,1175.0
1266,806,9,1175.0
622,217,9,1175.0
1267,807,9,1175.0
461,1219,9,1175.0
602,2,9,1175.0
1147,698,9,1175.0
1149,7,9,1175.0
616,211,9,1175.0
624,219,9,1175.0
811,39,9,1175.0
318,1019,9,1175.0
806,385,9,1175.0
316,1017,9,1175.0
514,1286,9,1175.0
661,253,9,1175.0
1274,813,9,1175.0
612,208,9,1175.0
796,376,9,1175.0
677,268,9,1175.0
684,274,9,1175.0
606,202,9,1175.0
1129,680,9,1175.0
1195,740,9,1175.0
589,19,9,1175.0
1247,79,9,1175.0
666,258,9,1175.0
410,1146,9,1175.0
472,1236,9,1175.0
413,115,9,1175.0
590,190,9,1175.0
356,1073,9,1175.0
355,1072,9,1175.0
1122,674,9,1175.0
1116,668,9,1175.0
780,361,9,1175.0
522,1298,9,1175.0
469,1232,9,1175.0
470,1233,9,1175.0
1232,775,9,1175.0
427,117,9,1175.0
477,1246,9,1175.0
1258,8,9,1175.0
440,1189,9,1175.0
433,118,9,1175.0
599,197,9,1175.0
432,1179,9,1175.0
498,1269,9,1175.0
502,1273,9,1175.0
506,1278,9,1175.0
1308,844,8,1066.0
867,44,8,1066.0
1290,828,8,1066.0
1332,866,8,1066.0
779,360,8,1066.0
396,1128,8,1066.0
1329,863,8,1066.0
809,388,8,1066.0
836,411,8,1066.0
862,435,8,1066.0
840,415,8,1066.0
261,-69,8,1066.0
926,493,8,1066.0
195,-279,8,1066.0
966,53,8,1066.0
886,457,8,1066.0
583,184,8,1066.0
1205,75,8,1066.0
1207,751,8,1066.0
974,537,8,1066.0
578,18,8,1066.0
969,532,8,1066.0
1419,945,8,1066.0
1212,756,8,1066.0
726,311,8,1066.0
73,-168,8,1066.0
730,315,8,1066.0
398,1131,8,1066.0
859,432,8,1066.0
816,394,8,1066.0
327,1027,8,1066.0
812,390,8,1066.0
346,1055,8,1066.0
821,399,8,1066.0
335,1035,8,1066.0
307,1009,8,1066.0
194,-278,8,1066.0
283,-89,8,1066.0
872,444,8,1066.0
825,401,8,1066.0
349,1061,8,1066.0
379,1108,8,1066.0
1307,843,8,1066.0
245,-54,8,1066.0
785,366,8,1066.0
305,1007,8,1066.0
377,1105,8,1066.0
382,1111,8,1066.0
1085,64,8,1066.0
848,422,8,1066.0
847,421,8,1066.0
385,1116,8,1066.0
783,364,8,1066.0
855,429,8,1066.0
845,42,8,1066.0
392,1124,8,1066.0
857,430,8,1066.0
306,1008,8,1066.0
736,320,8,1066.0
717,303,8,1066.0
545,15,8,1066.0
1227,77,8,1066.0
933,5,8,1066.0
929,496,8,1066.0
121,-210,8,1066.0
122,-211,8,1066.0
491,1262,8,1066.0
1062,619,8,1066.0
146,-234,8,1066.0
1246,789,8,1066.0
920,488,8,1066.0
164,-250,8,1066.0
450,1205,8,1066.0
179,-264,8,1066.0
895,465,8,1066.0
1344,878,8,1066.0
431,1178,8,1066.0
151,-239,8,1066.0
769,351,8,1066.0
1375,905,8,1066.0
1400,928,8,1066.0
102,-194,8,1066.0
948,513,8,1066.0
944,51,8,1066.0
99,-191,8,1066.0
508,128,8,1066.0
1243,785,8,1066.0
1409,936,8,1066.0
111,-201,8,1066.0
87,-180,8,1066.0
1077,632,8,1066.0
531,136,8,1066.0
1456,98,8,1066.0
1237,78,8,1066.0
1179,726,8,1066.0
1108,660,8,1066.0
713,30,8,1066.0
588,189,8,1066.0
1201,746,8,1066.0
710,298,8,1066.0
667,259,8,1066.0
1159,708,8,1066.0
1027,587,8,1066.0
1162,710,8,1066.0
1463,986,8,1066.0
1165,713,8,1066.0
1152,701,8,1066.0
1438,963,8,1066.0
31,-129,8,1066.0
597,195,8,1066.0
1436,961,8,1066.0
686,276,8,1066.0
1444,969,8,1066.0
991,552,8,1066.0
993,554,8,1066.0
1004,565,8,1066.0
626,220,8,1066.0
1006,568,8,1066.0
754,337,8,1066.0
435,1181,7,940.0
659,251,7,940.0
889,46,7,940.0
188,-272,7,940.0
185,-27,7,940.0
447,120,7,940.0
877,449,7,940.0
758,341,7,940.0
418,1155,7,940.0
1353,886,7,940.0
876,448,7,940.0
445,1198,7,940.0
207,-29,7,940.0
1024,584,7,940.0
887,458,7,940.0
1091,645,7,940.0
424,1162,7,940.0
1343,877,7,940.0
421,116,7,940.0
1075,630,7,940.0
175,-260,7,940.0
1018,579,7,940.0
770,352,7,940.0
865,438,7,940.0
468,1231,7,940.0
467,1230,7,940.0
466,123,7,940.0
464,1226,7,940.0
773,355,7,940.0
777,359,7,940.0
1133,684,7,940.0
475,1240,7,940.0
126,-215,7,940.0
1099,652,7,940.0
397,113,7,940.0
167,-253,7,940.0
950,515,7,940.0
495,1266,7,940.0
861,434,7,940.0
130,-219,7,940.0
322,1022,7,940.0
135,-223,7,940.0
321,1021,7,940.0
527,132,7,940.0
138,-226,7,940.0
139,-227,7,940.0
141,-229,7,940.0
1026,586,7,940.0
401,1136,7,940.0
936,501,7,940.0
1058,615,7,940.0
395,1127,7,940.0
1399,927,7,940.0
383,1112,7,940.0
1055,612,7,940.0
784,365,7,940.0
1393,921,7,940.0
1392,920,7,940.0
1028,588,7,940.0
946,511,7,940.0
1056,613,7,940.0
646,24,7,940.0
678,269,7,940.0
1262,802,7,940.0
104,-196,7,940.0
908,477,7,940.0
731,316,7,940.0
169,-255,7,940.0
607,203,7,940.0
1206,750,7,940.0
351,1063,7,940.0
570,172,7,940.0
729,314,7,940.0
1002,562,7,940.0
1034,593,7,940.0
1289,827,7,940.0
1131,682,7,940.0
536,140,7,940.0
747,330,7,940.0
1193,739,7,940.0
1130,681,7,940.0
695,284,7,940.0
540,144,7,940.0
1168,716,7,940.0
354,107,7,940.0
1183,73,7,940.0
426,1169,7,940.0
680,270,7,940.0
254,-62,7,940.0
1118,670,7,940.0
985,547,7,940.0
788,369,7,940.0
987,549,7,940.0
285,-90,7,940.0
551,155,7,940.0
1303,84,7,940.0
1316,851,7,940.0
741,325,7,940.0
905,474,7,940.0
793,373,7,940.0
1320,855,7,940.0
975,538,7,940.0
1086,640,7,940.0
902,471,7,940.0
715,301,7,940.0
453,1208,7,940.0
452,1207,7,940.0
1335,869,7,940.0
220,-300,7,940.0
641,235,7,940.0
722,308,7,940.0
342,1048,7,940.0
1299,836,7,940.0
1301,838,7,940.0
365,1089,7,940.0
1213,757,7,940.0
964,528,7,940.0
1054,610,7,940.0
296,10,7,940.0
755,338,7,940.0
1286,824,7,940.0
718,304,7,940.0
712,3,7,940.0
348,106,7,940.0
575,177,7,940.0
330,1030,7,940.0
267,-74,7,940.0
725,310,7,940.0
1294,831,7,940.0
22,-12,7,940.0
568,170,7,940.0
66,-161,7,940.0
839,414,7,940.0
1346,88,6,783.0
1358,890,6,783.0
1357,89,6,783.0
1365,897,6,783.0
1271,810,6,783.0
1341,874,6,783.0
337,1037,6,783.0
1364,896,6,783.0
1361,893,6,783.0
178,-263,6,783.0
172,-258,6,783.0
1295,832,6,783.0
319,102,6,783.0
1354,887,6,783.0
177,-262,6,783.0
1351,884,6,783.0
1292,83,6,783.0
69,-164,6,783.0
1326,860,6,783.0
227,-37,6,783.0
276,-82,6,783.0
340,104,6,783.0
222,-32,6,783.0
236,-45,6,783.0
1462,985,6,783.0
1396,924,6,783.0
100,-192,6,783.0
526,131,6,783.0
347,1057,6,783.0
1372,902,6,783.0
550,154,6,783.0
198,-281,6,783.0
1302,839,6,783.0
274,-80,6,783.0
268,-75,6,783.0
1310,846,6,783.0
1339,872,6,783.0
204,-287,6,783.0
1319,854,6,783.0
212,-294,6,783.0
215,-297,6,783.0
216,-298,6,783.0
1330,864,6,783.0
529,134,6,783.0
1426,951,6,783.0
573,175,6,783.0
621,216,6,783.0
1163,711,6,783.0
1175,722,6,783.0
50,-147,6,783.0
648,241,6,783.0
1472,995,6,783.0
1464,987,6,783.0
657,25,6,783.0
1215,759,6,783.0
55,-151,6,783.0
1214,758,6,783.0
561,164,6,783.0
564,167,6,783.0
53,-15,6,783.0
1474,997,6,783.0
1211,755,6,783.0
1156,705,6,783.0
647,240,6,783.0
1425,950,6,783.0
1424,95,6,783.0
625,22,6,783.0
1458,981,6,783.0
1208,752,6,783.0
1174,721,6,783.0
577,179,6,783.0
1440,965,6,783.0
1202,747,6,783.0
592,192,6,783.0
596,194,6,783.0
642,236,6,783.0
598,196,6,783.0
1166,714,6,783.0
636,230,6,783.0
1445,97,6,783.0
635,23,6,783.0
1169,717,6,783.0
601,199,6,783.0
1446,970,6,783.0
614,21,6,783.0
1172,72,6,783.0
1452,976,6,783.0
619,214,6,783.0
1454,978,6,783.0
1397,925,6,783.0
586,187,6,783.0
530,135,6,783.0
931,498,6,783.0
815,393,6,783.0
924,491,6,783.0
781,362,6,783.0
921,489,6,783.0
864,437,6,783.0
1097,650,6,783.0
1070,626,6,783.0
772,354,6,783.0
904,473,6,783.0
874,446,6,783.0
896,466,6,783.0
1078,633,6,783.0
776,358,6,783.0
1102,655,6,783.0
1104,657,6,783.0
753,336,6,783.0
979,541,6,783.0
994,555,6,783.0
984,546,6,783.0
927,494,6,783.0
852,426,6,783.0
827,403,6,783.0
1084,639,6,783.0
105,-197,6,783.0
1030,59,6,783.0
694,283,6,783.0
679,27,6,783.0
696,285,6,783.0
685,275,6,783.0
1011,572,6,783.0
1029,589,6,783.0
693,282,6,783.0
1009,570,6,783.0
670,261,6,783.0
813,391,6,783.0
1025,585,6,783.0
820,398,6,783.0
846,420,6,783.0
1032,591,6,783.0
1036,595,6,783.0
1053,61,6,783.0
947,512,6,783.0
1126,678,6,783.0
1000,560,6,783.0
828,404,6,783.0
119,-209,6,783.0
402,1137,6,783.0
384,1114,6,783.0
1264,804,6,783.0
134,-222,6,783.0
362,1086,6,783.0
143,-230,6,783.0
352,1064,6,783.0
1374,904,6,783.0
471,1234,6,783.0
113,-203,6,783.0
109,-20,6,783.0
533,138,6,783.0
71,-166,6,783.0
72,-167,6,783.0
76,-170,6,783.0
541,145,6,783.0
1239,781,6,783.0
1403,930,6,783.0
1046,603,6,783.0
404,114,6,783.0
1412,939,6,783.0
412,1149,6,783.0
1051,608,6,783.0
446,12,6,783.0
833,409,6,783.0
982,544,6,783.0
1052,609,6,783.0
723,309,6,783.0
791,371,6,783.0
789,37,6,783.0
1119,671,6,783.0
737,321,6,783.0
1050,607,6,783.0
1109,661,6,783.0
343,1049,6,783.0
954,519,6,783.0
117,-207,6,783.0
463,1224,6,783.0
101,-193,6,783.0
1476,999,6,783.0
808,387,6,783.0
1256,798,6,783.0
1210,754,5,607.5
1113,665,5,607.5
538,142,5,607.5
721,307,5,607.5
1225,768,5,607.5
1111,663,5,607.5
761,344,5,607.5
543,147,5,607.5
751,334,5,607.5
1238,780,5,607.5
748,331,5,607.5
750,333,5,607.5
757,340,5,607.5
759,342,5,607.5
591,191,5,607.5
1103,656,5,607.5
803,382,5,607.5
1216,76,5,607.5
1221,764,5,607.5
800,38,5,607.5
724,31,5,607.5
617,212,5,607.5
1263,803,5,607.5
260,-68,5,607.5
373,110,5,607.5
1194,74,5,607.5
366,109,5,607.5
361,1083,5,607.5
358,1078,5,607.5
1095,649,5,607.5
556,16,5,607.5
569,171,5,607.5
341,1041,5,607.5
228,-38,5,607.5
763,346,5,607.5
1275,814,5,607.5
576,178,5,607.5
733,318,5,607.5
1218,761,5,607.5
558,161,5,607.5
1300,837,5,607.5
289,-94,5,607.5
1323,858,5,607.5
320,1020,5,607.5
1184,730,5,607.5
1136,687,5,607.5
628,222,5,607.5
328,1028,5,607.5
1144,694,5,607.5
326,1026,5,607.5
1293,830,5,607.5
324,1024,5,607.5
314,1015,5,607.5
250,-59,5,607.5
308,101,5,607.5
853,427,5,607.5
304,1006,5,607.5
241,-50,5,607.5
818,396,5,607.5
1158,707,5,607.5
1160,709,5,607.5
406,1142,5,607.5
1282,820,5,607.5
1325,86,5,607.5
287,-92,5,607.5
1173,720,5,607.5
1297,834,5,607.5
282,-88,5,607.5
1164,712,5,607.5
280,-86,5,607.5
1281,82,5,607.5
831,407,5,607.5
676,267,5,607.5
1305,841,5,607.5
1309,845,5,607.5
838,413,5,607.5
1321,856,5,607.5
1315,850,5,607.5
674,265,5,607.5
654,247,5,607.5
1312,848,5,607.5
1089,643,5,607.5
650,243,5,607.5
390,1122,5,607.5
1101,654,5,607.5
778,36,5,607.5
118,-208,5,607.5
1331,865,5,607.5
882,453,5,607.5
1014,575,5,607.5
205,-288,5,607.5
1345,879,5,607.5
67,-162,5,607.5
997,558,5,607.5
1005,567,5,607.5
1432,958,5,607.5
888,459,5,607.5
114,-204,5,607.5
938,504,5,607.5
106,-198,5,607.5
942,508,5,607.5
1057,614,5,607.5
1048,605,5,607.5
225,-35,5,607.5
95,-188,5,607.5
14,-111,5,607.5
1074,63,5,607.5
85,-179,5,607.5
892,462,5,607.5
1349,882,5,607.5
423,1161,5,607.5
1348,881,5,607.5
1079,634,5,607.5
1459,982,5,607.5
223,-33,5,607.5
1328,862,5,607.5
1007,569,5,607.5
1455,979,5,607.5
199,-282,5,607.5
1082,637,5,607.5
1342,875,5,607.5
16,-113,5,607.5
1461,984,5,607.5
873,445,5,607.5
201,-284,5,607.5
200,-283,5,607.5
870,442,5,607.5
52,-149,5,607.5
881,452,5,607.5
1406,933,5,607.5
1023,583,5,607.5
147,-235,5,607.5
35,-133,5,607.5
140,-228,5,607.5
36,-134,5,607.5
1382,911,5,607.5
1383,912,5,607.5
1384,913,5,607.5
1087,641,5,607.5
1100,653,5,607.5
1447,971,5,607.5
388,112,5,607.5
524,13,5,607.5
708,296,5,607.5
1124,676,5,607.5
608,204,5,607.5
609,205,5,607.5
1407,934,5,607.5
462,122,5,607.5
33,-131,5,607.5
930,497,5,607.5
1044,601,5,607.5
39,-137,5,607.5
957,521,5,607.5
917,485,5,607.5
58,-154,5,607.5
77,-171,5,607.5
960,524,5,607.5
1414,940,5,607.5
1060,617,5,607.5
903,472,5,607.5
81,-175,5,607.5
23,-121,5,607.5
913,481,5,607.5
1422,948,5,607.5
1001,561,5,607.5
1071,627,5,607.5
1451,975,5,607.5
1363,895,5,607.5
163,-25,5,607.5
632,226,4,426.0
500,1270,4,426.0
499,127,4,426.0
537,141,4,426.0
334,1034,4,426.0
331,1031,4,426.0
329,103,4,426.0
325,1025,4,426.0
263,-70,4,426.0
291,-96,4,426.0
623,218,4,426.0
270,-77,4,426.0
271,-78,4,426.0
277,-83,4,426.0
281,-87,4,426.0
284,-9,4,426.0
286,-91,4,426.0
288,-93,4,426.0
290,-95,4,426.0
620,215,4,426.0
474,124,4,426.0
1020,580,4,426.0
157,-244,4,426.0
557,160,4,426.0
455,121,4,426.0
108,-2,4,426.0
732,317,4,426.0
716,302,4,426.0
156,-243,4,426.0
707,295,4,426.0
702,290,4,426.0
158,-245,4,426.0
165,-251,4,426.0
652,245,4,426.0
649,242,4,426.0
256,-64,4,426.0
403,1139,4,426.0
336,1036,4,426.0
603,20,4,426.0
600,198,4,426.0
350,1062,4,426.0
367,1090,4,426.0
372,11,4,426.0
391,1123,4,426.0
441,119,4,426.0
643,237,4,426.0
323,1023,4,426.0
771,353,4,426.0
706,294,4,426.0
94,-187,4,426.0
992,553,4,426.0
30,-128,4,426.0
21,-119,4,426.0
18,-115,4,426.0
998,559,4,426.0
1013,574,4,426.0
6,-104,4,426.0
897,467,4,426.0
542,146,4,426.0
90,-183,4,426.0
86,-18,4,426.0
842,417,4,426.0
841,416,4,426.0
849,423,4,426.0
850,424,4,426.0
787,368,4,426.0
843,418,4,426.0
814,392,4,426.0
